ID,Nama Produk,Jenis Sambal,Harga,Stok,Tanggal Produksi,Tanggal Expired,Rating,Penjual,Lokasi
392,Sambel Sambal Bawang 217ml,Sambal Roa,15854,374,7/15/2025,12/4/2025,2.8,CV Farida,Mojokerto
393,Sambel Sambal Tomat 170ml,Sambal Roa,60689,416,7/15/2025,12/20/2025,4.1,Perum Handayani,Pasuruan
394,Sambal Sambal Bawang 371ml,Sambal Terasi,49997,332,7/15/2025,1/5/2026,3.6,PD Oktaviani,Pematangsiantar
395,Sambal Sambal Ijo 310ml,Sambal Teri,66358,111,7/15/2025,11/26/2025,4.7,UD Pertiwi,Prabumulih
396,Sambal Sambal Bawang 401ml,Sambal Roa,33038,493,7/15/2025,5/20/2026,3.3,CV Santoso Pangestu,Padang Sidempuan
397,Sambal Sambal Matah 241ml,Sambal Bawang,26263,283,7/15/2025,3/7/2026,4.4,PT Laksmiwati Tbk,Tangerang
398,Sambal Sambal Tomat 205ml,Sambal Matah,59010,200,7/15/2025,3/13/2026,4.1,PT Nurdiyanti Tbk,Yogyakarta
399,Sambal Sambal Teri 297ml,Sambal Bawang,25799,255,7/15/2025,11/18/2025,3.8,UD Hassanah,Kota Administrasi Jakarta Pusat
400,Sambal Sambal Cumi 262ml,Sambal Ijo,35351,440,7/15/2025,5/16/2026,3.4,PD Najmudin Wijayanti (Persero) Tbk,Malang
401,Sambal Sambal Teri 494ml,Sambal Bawang,11093,300,7/15/2025,11/16/2025,2.5,UD Widiastuti,Cirebon
402,Sambal Sambal Terasi 130ml,Sambal Roa,43201,146,7/15/2025,6/26/2026,4.4,CV Januar Tbk,Kota Administrasi Jakarta Utara
403,Sambel Sambal Roa 142ml,Sambal Ijo,28184,42,7/15/2025,3/20/2026,2.7,Perum Suryono Tbk,Depok
404,Sambal Sambal Ijo 374ml,Sambal Cumi,35606,300,7/15/2025,11/15/2025,3.3,CV Rajata,Depok
405,Sambel Sambal Matah 129ml,Sambal Matah,15650,473,7/15/2025,5/23/2026,2.8,CV Wastuti Tbk,Kota Administrasi Jakarta Timur
406,Sambal Sambal Tomat 441ml,Sambal Ijo,17827,6,7/15/2025,12/22/2025,4.3,UD Puspasari Santoso,Magelang
407,Sambal Sambal Teri 277ml,Sambal Tomat,20942,190,7/15/2025,12/16/2025,4.4,CV Mandasari (Persero) Tbk,Tanjungpinang
408,Sambel Sambal Bawang 494ml,Sambal Terasi,31955,413,7/15/2025,5/20/2026,3.2,PD Suryono (Persero) Tbk,Palopo
409,Sambal Sambal Tomat 464ml,Sambal Bawang,42515,233,7/15/2025,7/1/2026,3.4,PT Farida Tbk,Sukabumi
410,Sambel Sambal Ijo 288ml,Sambal Ijo,26719,395,7/15/2025,12/4/2025,4.7,Perum Siregar Tbk,Tidore Kepulauan
411,Sambal Sambal Matah 479ml,Sambal Terasi,12886,439,7/15/2025,10/19/2025,3.1,UD Usada,Parepare
412,Sambel Sambal Cumi 296ml,Sambal Ijo,21728,476,7/15/2025,10/31/2025,3.9,PT Thamrin,Mataram
413,Sambel Sambal Matah 264ml,Sambal Matah,37279,468,7/15/2025,3/25/2026,3.2,CV Natsir Agustina,Padangpanjang
414,Sambal Sambal Cumi 161ml,Sambal Terasi,21753,114,7/15/2025,7/4/2026,5,UD Puspita,Bukittinggi
415,Sambel Sambal Bawang 338ml,Sambal Tomat,60693,432,7/15/2025,3/21/2026,3.3,Perum Hariyah (Persero) Tbk,Jayapura
416,Sambel Sambal Terasi 288ml,Sambal Matah,29109,288,7/15/2025,3/17/2026,4.3,Perum Rahayu,Lubuklinggau
417,Sambal Sambal Teri 288ml,Sambal Teri,60633,397,7/15/2025,1/21/2026,4.3,PT Wijayanti Halim,Tarakan
418,Sambal Sambal Ijo 103ml,Sambal Roa,11566,119,7/15/2025,4/8/2026,4.1,Perum Nurdiyanti,Tanjungbalai
419,Sambal Sambal Cumi 100ml,Sambal Roa,65640,377,7/15/2025,3/19/2026,2.8,PT Suartini Latupono (Persero) Tbk,Bandar Lampung
420,Sambal Sambal Roa 351ml,Sambal Terasi,73737,72,7/15/2025,3/5/2026,2.7,Perum Andriani Tamba (Persero) Tbk,Balikpapan
421,Sambal Sambal Roa 458ml,Sambal Cumi,40045,498,7/15/2025,11/25/2025,4,PD Kusmawati Agustina,Tidore Kepulauan
422,Sambal Sambal Roa 138ml,Sambal Terasi,38507,339,7/15/2025,12/18/2025,3.1,PD Kuswoyo Megantara,Batam
423,Sambel Sambal Cumi 301ml,Sambal Cumi,30844,231,7/15/2025,3/1/2026,3.1,PD Megantara Hutagalung Tbk,Blitar
424,Sambal Sambal Ijo 499ml,Sambal Bawang,20184,54,7/15/2025,1/5/2026,3.6,PT Hasanah (Persero) Tbk,Pangkalpinang
425,Sambel Sambal Roa 161ml,Sambal Cumi,73218,394,7/15/2025,1/27/2026,3.6,CV Siregar Firmansyah,Lubuklinggau
426,Sambel Sambal Tomat 161ml,Sambal Bawang,20329,413,7/15/2025,3/17/2026,4.6,PD Kurniawan Sihombing (Persero) Tbk,Serang
427,Sambal Sambal Matah 267ml,Sambal Ijo,15977,364,7/15/2025,2/17/2026,4.9,UD Namaga,Pontianak
428,Sambel Sambal Terasi 446ml,Sambal Tomat,27050,419,7/15/2025,1/10/2026,2.6,PD Melani Sudiati (Persero) Tbk,Binjai
429,Sambel Sambal Teri 384ml,Sambal Matah,16207,236,7/15/2025,12/4/2025,4.5,Perum Saputra Najmudin Tbk,Ambon
430,Sambal Sambal Bawang 106ml,Sambal Terasi,64419,399,7/15/2025,2/3/2026,2.8,CV Pratiwi (Persero) Tbk,Tual
431,Sambel Sambal Cumi 451ml,Sambal Bawang,48163,300,7/15/2025,2/22/2026,4.8,Perum Safitri (Persero) Tbk,Probolinggo
432,Sambal Sambal Terasi 133ml,Sambal Matah,69145,330,7/15/2025,5/28/2026,4.5,Perum Rahimah,Batam
433,Sambal Sambal Cumi 162ml,Sambal Terasi,71753,236,7/15/2025,11/7/2025,2.9,PT Wacana (Persero) Tbk,Sungai Penuh
434,Sambel Sambal Roa 354ml,Sambal Terasi,35082,349,7/15/2025,5/19/2026,2.9,UD Hardiansyah,Solok
435,Sambal Sambal Ijo 240ml,Sambal Tomat,39229,452,7/15/2025,12/28/2025,2.6,PD Sudiati Kusumo Tbk,Padangpanjang
436,Sambal Sambal Tomat 355ml,Sambal Roa,67853,281,7/15/2025,6/15/2026,2.7,Perum Wahyuni,Palembang
437,Sambel Sambal Roa 170ml,Sambal Roa,23071,329,7/15/2025,7/9/2026,3.1,PD Widodo,Langsa
438,Sambal Sambal Roa 500ml,Sambal Cumi,41436,278,7/15/2025,6/18/2026,3.4,CV Suryono Tbk,Metro
439,Sambel Sambal Roa 238ml,Sambal Ijo,11708,163,7/15/2025,2/2/2026,2.6,CV Saputra,Bima
440,Sambel Sambal Terasi 341ml,Sambal Cumi,60255,299,7/15/2025,2/9/2026,4.9,Perum Hutasoit,Medan
441,Sambal Sambal Matah 436ml,Sambal Matah,27467,273,7/15/2025,11/10/2025,4.4,Perum Prasetya Sirait,Yogyakarta
442,Sambal Sambal Roa 281ml,Sambal Ijo,21540,121,7/15/2025,3/24/2026,4.5,CV Aryani Mardhiyah,Mojokerto
443,Sambel Sambal Terasi 460ml,Sambal Cumi,72099,290,7/15/2025,12/24/2025,3.9,Perum Latupono Tbk,Singkawang
444,Sambal Sambal Teri 377ml,Sambal Tomat,21505,251,7/15/2025,11/1/2025,2.7,UD Hutagalung (Persero) Tbk,Palembang
445,Sambal Sambal Matah 110ml,Sambal Teri,10044,169,7/15/2025,1/24/2026,4.5,PT Santoso Manullang (Persero) Tbk,Pekanbaru
446,Sambel Sambal Ijo 265ml,Sambal Terasi,11436,75,7/15/2025,12/24/2025,4.4,Perum Manullang Handayani Tbk,Bengkulu
447,Sambel Sambal Bawang 291ml,Sambal Roa,48405,51,7/15/2025,4/3/2026,3.3,PT Melani Tbk,Singkawang
448,Sambal Sambal Ijo 474ml,Sambal Roa,61894,327,7/15/2025,6/19/2026,4.1,Perum Budiman,Balikpapan
449,Sambal Sambal Cumi 214ml,Sambal Ijo,34797,157,7/15/2025,3/12/2026,2.8,PT Agustina (Persero) Tbk,Kendari
450,Sambal Sambal Roa 494ml,Sambal Terasi,21932,308,7/15/2025,3/24/2026,4.8,Perum Widiastuti Dongoran,Yogyakarta
451,Sambal Sambal Bawang 354ml,Sambal Ijo,31703,381,7/15/2025,11/21/2025,3.1,CV Lestari Tbk,Sungai Penuh
452,Sambel Sambal Ijo 425ml,Sambal Bawang,63848,362,7/15/2025,4/2/2026,3.6,CV Latupono,Kota Administrasi Jakarta Selatan
453,Sambel Sambal Matah 227ml,Sambal Bawang,32969,131,7/15/2025,12/7/2025,4.3,PD Waskita,Palopo
454,Sambal Sambal Roa 324ml,Sambal Roa,73511,85,7/15/2025,5/12/2026,3.7,Perum Laksita Agustina,Banda Aceh
455,Sambel Sambal Cumi 379ml,Sambal Roa,16647,424,7/15/2025,6/15/2026,4.5,PT Usamah Sitorus,Semarang
456,Sambal Sambal Ijo 331ml,Sambal Bawang,62376,433,7/15/2025,10/30/2025,3.2,PD Santoso Kuswoyo,Malang
457,Sambel Sambal Tomat 153ml,Sambal Bawang,32400,87,7/15/2025,4/23/2026,2.9,Perum Nasyiah Suryatmi,Manado
458,Sambal Sambal Bawang 273ml,Sambal Teri,56170,15,7/15/2025,5/21/2026,4.9,UD Purwanti,Manado
459,Sambal Sambal Roa 180ml,Sambal Terasi,16636,169,7/15/2025,1/26/2026,4.9,PD Dongoran Damanik (Persero) Tbk,Padang Sidempuan
460,Sambel Sambal Tomat 438ml,Sambal Tomat,29490,121,7/15/2025,12/1/2025,2.6,CV Sudiati Tbk,Parepare
461,Sambel Sambal Ijo 127ml,Sambal Cumi,10250,218,7/15/2025,11/26/2025,3.2,CV Rahimah Gunawan (Persero) Tbk,Pasuruan
462,Sambel Sambal Matah 149ml,Sambal Terasi,23562,87,7/15/2025,3/11/2026,4.9,UD Nainggolan,Parepare
463,Sambel Sambal Bawang 257ml,Sambal Roa,40863,250,7/15/2025,2/25/2026,2.7,CV Mandala Tbk,Sungai Penuh
464,Sambel Sambal Ijo 289ml,Sambal Roa,34209,95,7/15/2025,5/29/2026,2.6,PT Nuraini (Persero) Tbk,Depok
465,Sambel Sambal Teri 234ml,Sambal Matah,64858,137,7/15/2025,11/13/2025,2.9,CV Budiman Budiman,Blitar
466,Sambal Sambal Bawang 442ml,Sambal Cumi,62964,277,7/15/2025,5/12/2026,4.9,CV Hasanah Suwarno (Persero) Tbk,Sukabumi
467,Sambal Sambal Terasi 298ml,Sambal Roa,73283,274,7/15/2025,6/13/2026,3.9,Perum Halim (Persero) Tbk,Mataram
468,Sambal Sambal Teri 253ml,Sambal Bawang,35873,462,7/15/2025,10/30/2025,3.8,CV Jailani Hutasoit,Binjai
469,Sambal Sambal Bawang 487ml,Sambal Teri,21329,485,7/15/2025,1/6/2026,4.9,PT Maryadi,Padangpanjang
470,Sambal Sambal Ijo 121ml,Sambal Roa,15135,349,7/15/2025,5/23/2026,3,CV Budiman Saragih,Binjai
471,Sambal Sambal Tomat 263ml,Sambal Bawang,15703,198,7/15/2025,5/4/2026,3.9,UD Tampubolon Tbk,Sukabumi
472,Sambel Sambal Teri 106ml,Sambal Roa,17374,212,7/15/2025,12/28/2025,2.9,CV Prasasta (Persero) Tbk,Cimahi
473,Sambal Sambal Bawang 388ml,Sambal Bawang,61494,146,7/15/2025,7/14/2026,4.7,PT Wastuti,Padang
474,Sambel Sambal Tomat 296ml,Sambal Teri,47488,311,7/15/2025,6/12/2026,2.6,PD Novitasari,Blitar
475,Sambel Sambal Roa 173ml,Sambal Roa,12541,202,7/15/2025,3/31/2026,4.2,CV Irawan Kusmawati,Pematangsiantar
476,Sambal Sambal Teri 237ml,Sambal Cumi,11325,172,7/15/2025,3/17/2026,3.3,UD Ramadan Nuraini (Persero) Tbk,Meulaboh
477,Sambel Sambal Bawang 216ml,Sambal Ijo,29692,498,7/15/2025,5/27/2026,4.4,CV Simbolon Anggraini,Meulaboh
478,Sambel Sambal Tomat 473ml,Sambal Roa,49647,330,7/15/2025,11/27/2025,3,PD Wahyuni Tbk,Serang
479,Sambal Sambal Roa 479ml,Sambal Teri,59774,264,7/15/2025,4/22/2026,4.6,Perum Rajata,Lhokseumawe
480,Sambal Sambal Bawang 259ml,Sambal Roa,18889,399,7/15/2025,7/8/2026,4.7,PT Wahyuni Maryadi Tbk,Pariaman
481,Sambal Sambal Ijo 198ml,Sambal Matah,64852,29,7/15/2025,2/17/2026,2.6,CV Andriani,Subulussalam
482,Sambal Sambal Cumi 460ml,Sambal Matah,27955,188,7/15/2025,6/7/2026,3.8,UD Laksita Rahayu (Persero) Tbk,Pangkalpinang
483,Sambal Sambal Terasi 223ml,Sambal Cumi,42033,304,7/15/2025,5/29/2026,2.9,PD Adriansyah Halim (Persero) Tbk,Dumai
484,Sambel Sambal Cumi 276ml,Sambal Ijo,64896,457,7/15/2025,2/22/2026,4.4,UD Wahyudin (Persero) Tbk,Kendari
485,Sambal Sambal Tomat 114ml,Sambal Roa,13253,83,7/15/2025,1/30/2026,4.6,CV Kusmawati Pangestu,Serang
486,Sambal Sambal Matah 237ml,Sambal Roa,43638,10,7/15/2025,10/17/2025,3.7,Perum Dabukke (Persero) Tbk,Bengkulu
487,Sambal Sambal Ijo 407ml,Sambal Terasi,24664,129,7/15/2025,3/18/2026,4.3,UD Budiyanto,Cilegon
488,Sambel Sambal Roa 292ml,Sambal Cumi,40080,129,7/15/2025,2/1/2026,3.7,CV Melani Tbk,Kota Administrasi Jakarta Selatan
489,Sambel Sambal Bawang 103ml,Sambal Cumi,46795,331,7/15/2025,3/6/2026,3.2,PT Winarsih Halim Tbk,Kotamobagu
490,Sambal Sambal Teri 132ml,Sambal Cumi,74773,141,7/15/2025,3/28/2026,4.7,Perum Manullang Uyainah Tbk,Madiun
491,Sambel Sambal Tomat 196ml,Sambal Ijo,43901,391,7/15/2025,2/13/2026,4.7,PT Prasetya Hidayanto Tbk,Surakarta
492,Sambel Sambal Cumi 448ml,Sambal Ijo,57270,13,7/15/2025,6/24/2026,5,UD Latupono,Subulussalam
493,Sambel Sambal Roa 307ml,Sambal Roa,58282,18,7/15/2025,1/18/2026,3.4,Perum Pratiwi Hastuti Tbk,Tomohon
494,Sambal Sambal Teri 443ml,Sambal Cumi,43247,153,7/15/2025,1/8/2026,4.6,PD Irawan Farida,Padangpanjang
495,Sambal Sambal Tomat 149ml,Sambal Teri,18384,379,7/15/2025,2/22/2026,4.3,Perum Fujiati (Persero) Tbk,Sorong
496,Sambal Sambal Cumi 435ml,Sambal Bawang,24565,181,7/15/2025,2/4/2026,4.4,PT Puspasari Haryanto Tbk,Manado
497,Sambel Sambal Roa 269ml,Sambal Cumi,27076,299,7/15/2025,3/12/2026,3.7,PT Prayoga (Persero) Tbk,Pekalongan
498,Sambal Sambal Teri 127ml,Sambal Bawang,40947,455,7/15/2025,1/20/2026,3.8,Perum Nasyiah Najmudin (Persero) Tbk,Bekasi
499,Sambel Sambal Tomat 311ml,Sambal Terasi,67071,437,7/15/2025,12/29/2025,2.8,PD Winarno Sihombing,Semarang
500,Sambal Sambal Cumi 309ml,Sambal Teri,19386,161,7/15/2025,1/13/2026,4.4,UD Wulandari Pratiwi,Cilegon
501,Sambel Sambal Cumi 423ml,Sambal Ijo,30539,324,7/15/2025,11/11/2025,2.5,UD Nashiruddin Pertiwi,Bontang
502,Sambel Sambal Matah 489ml,Sambal Ijo,47767,391,7/15/2025,1/2/2026,3.7,UD Rahimah,Surabaya
503,Sambal Sambal Ijo 414ml,Sambal Roa,51516,219,7/15/2025,5/7/2026,3.6,PT Pranowo Santoso Tbk,Pekanbaru
504,Sambel Sambal Roa 102ml,Sambal Terasi,44981,102,7/15/2025,4/22/2026,4.9,Perum Purnawati,Banjarbaru
505,Sambel Sambal Matah 109ml,Sambal Terasi,51070,375,7/15/2025,2/17/2026,3.1,Perum Usamah Novitasari (Persero) Tbk,Kota Administrasi Jakarta Barat
506,Sambel Sambal Tomat 166ml,Sambal Bawang,35136,257,7/15/2025,3/18/2026,2.9,CV Dabukke,Sukabumi
507,Sambal Sambal Tomat 248ml,Sambal Teri,57699,266,7/15/2025,7/8/2026,3.3,PD Napitupulu Samosir,Tasikmalaya
508,Sambal Sambal Cumi 350ml,Sambal Cumi,59159,96,7/15/2025,1/5/2026,4.9,PD Ardianto Irawan Tbk,Sungai Penuh
509,Sambel Sambal Terasi 216ml,Sambal Matah,57655,67,7/15/2025,1/29/2026,4.3,UD Nasyiah Handayani,Kendari
510,Sambal Sambal Bawang 287ml,Sambal Terasi,34588,448,7/15/2025,2/20/2026,4.4,PD Uyainah,Yogyakarta
511,Sambal Sambal Terasi 438ml,Sambal Bawang,52832,428,7/15/2025,10/23/2025,2.6,Perum Putra (Persero) Tbk,Banjarmasin
512,Sambal Sambal Roa 327ml,Sambal Roa,18099,280,7/15/2025,2/19/2026,3.7,PD Nuraini Tampubolon (Persero) Tbk,Bau-Bau
513,Sambal Sambal Matah 455ml,Sambal Terasi,29733,215,7/15/2025,12/3/2025,4.2,PD Tarihoran Tamba Tbk,Banjar
514,Sambel Sambal Ijo 314ml,Sambal Bawang,43527,368,7/15/2025,12/12/2025,3.2,PT Rahayu Tbk,Jambi
515,Sambal Sambal Teri 201ml,Sambal Matah,60984,134,7/15/2025,7/7/2026,4.9,Perum Megantara Kuswandari (Persero) Tbk,Magelang
516,Sambel Sambal Roa 251ml,Sambal Ijo,12582,280,7/15/2025,6/24/2026,4.8,Perum Natsir Tbk,Cimahi
517,Sambel Sambal Cumi 220ml,Sambal Terasi,10835,343,7/15/2025,11/27/2025,4.8,CV Wibisono Mandala,Makassar
518,Sambel Sambal Ijo 146ml,Sambal Bawang,57419,370,7/15/2025,12/3/2025,4.8,PT Prasetya (Persero) Tbk,Bengkulu
519,Sambal Sambal Teri 251ml,Sambal Tomat,40426,25,7/15/2025,12/3/2025,4.5,CV Damanik,Tarakan
520,Sambal Sambal Tomat 284ml,Sambal Cumi,37918,378,7/15/2025,12/11/2025,2.7,Perum Kuswandari,Pekalongan
521,Sambal Sambal Terasi 170ml,Sambal Ijo,31539,183,7/15/2025,5/25/2026,4.9,PD Utama,Purwokerto
522,Sambel Sambal Bawang 290ml,Sambal Cumi,21984,58,7/15/2025,5/6/2026,3.5,CV Maheswara Saputra,Kota Administrasi Jakarta Barat
523,Sambel Sambal Tomat 297ml,Sambal Teri,62422,215,7/15/2025,1/6/2026,2.8,PT Simbolon Tbk,Madiun
524,Sambal Sambal Ijo 153ml,Sambal Roa,69718,302,7/15/2025,6/17/2026,4.5,CV Mahendra Tbk,Sungai Penuh
525,Sambel Sambal Ijo 412ml,Sambal Roa,61063,183,7/15/2025,10/27/2025,4.7,UD Wahyudin Nainggolan,Parepare
526,Sambal Sambal Teri 349ml,Sambal Bawang,68169,210,7/15/2025,5/26/2026,2.6,PD Suryono Hasanah,Langsa
527,Sambel Sambal Cumi 106ml,Sambal Matah,74087,489,7/15/2025,4/4/2026,3.8,PD Usamah Nurdiyanti,Palopo
528,Sambal Sambal Roa 438ml,Sambal Matah,41583,177,7/15/2025,4/28/2026,2.9,Perum Purwanti Wasita,Blitar
529,Sambal Sambal Terasi 429ml,Sambal Ijo,43132,434,7/15/2025,6/10/2026,4.6,CV Suryono Melani Tbk,Balikpapan
530,Sambal Sambal Bawang 484ml,Sambal Teri,31013,123,7/15/2025,3/31/2026,4.9,PT Mulyani Tbk,Sibolga
531,Sambal Sambal Matah 381ml,Sambal Roa,36429,418,7/15/2025,2/10/2026,2.7,PT Sihombing Tbk,Medan
532,Sambel Sambal Teri 145ml,Sambal Teri,39299,161,7/15/2025,12/12/2025,5,PD Farida (Persero) Tbk,Purwokerto
533,Sambal Sambal Bawang 306ml,Sambal Roa,12348,285,7/15/2025,10/13/2025,4.6,PD Haryanto Maryati Tbk,Kendari
534,Sambel Sambal Matah 435ml,Sambal Teri,72282,174,7/15/2025,4/17/2026,4.6,Perum Salahudin Wacana,Jayapura
535,Sambal Sambal Teri 269ml,Sambal Teri,56966,336,7/15/2025,4/17/2026,4.3,CV Najmudin Gunawan (Persero) Tbk,Lubuklinggau
536,Sambal Sambal Bawang 488ml,Sambal Matah,10143,174,7/15/2025,4/12/2026,4.6,Perum Thamrin,Banjar
537,Sambel Sambal Cumi 459ml,Sambal Bawang,13000,459,7/15/2025,1/5/2026,3.7,PT Irawan Pranowo Tbk,Denpasar
538,Sambel Sambal Bawang 230ml,Sambal Matah,22290,61,7/15/2025,5/2/2026,3,PD Pratama,Prabumulih
539,Sambal Sambal Cumi 155ml,Sambal Roa,13047,474,7/15/2025,12/15/2025,4.4,UD Simanjuntak Sirait Tbk,Singkawang
540,Sambel Sambal Teri 437ml,Sambal Ijo,73167,255,7/15/2025,10/15/2025,3.8,PT Putra (Persero) Tbk,Pagaralam
541,Sambal Sambal Roa 399ml,Sambal Teri,70579,260,7/15/2025,1/11/2026,4.2,PT Saragih Gunawan,Palembang
542,Sambal Sambal Ijo 153ml,Sambal Roa,53091,307,7/15/2025,3/26/2026,3.8,PD Salahudin Anggriawan (Persero) Tbk,Salatiga
543,Sambel Sambal Roa 411ml,Sambal Matah,27930,203,7/15/2025,4/6/2026,4.9,Perum Tarihoran Nasyidah Tbk,Pariaman
544,Sambel Sambal Ijo 170ml,Sambal Roa,49487,358,7/15/2025,7/2/2026,3.2,Perum Mulyani Maryati,Sawahlunto
545,Sambel Sambal Matah 202ml,Sambal Matah,50905,365,7/15/2025,3/10/2026,4.2,Perum Prasetyo Tbk,Dumai
546,Sambal Sambal Ijo 357ml,Sambal Cumi,56553,59,7/15/2025,4/11/2026,3.9,UD Nashiruddin,Bima
547,Sambel Sambal Tomat 316ml,Sambal Terasi,44257,54,7/15/2025,10/25/2025,3.5,PD Pratiwi,Palopo
548,Sambal Sambal Terasi 202ml,Sambal Tomat,59164,402,7/15/2025,1/3/2026,5,UD Purnawati,Kediri
549,Sambel Sambal Ijo 131ml,Sambal Tomat,23369,385,7/15/2025,10/29/2025,3.4,Perum Latupono Wahyuni,Probolinggo
550,Sambel Sambal Bawang 415ml,Sambal Matah,58654,331,7/15/2025,4/30/2026,3.1,PD Suryono Anggraini,Banjarmasin
551,Sambel Sambal Terasi 295ml,Sambal Roa,37300,489,7/15/2025,3/22/2026,4.9,PT Halim Wastuti Tbk,Malang
552,Sambal Sambal Terasi 480ml,Sambal Tomat,23309,317,7/15/2025,5/27/2026,4.6,CV Latupono (Persero) Tbk,Solok
553,Sambel Sambal Matah 497ml,Sambal Matah,29279,229,7/15/2025,1/11/2026,5,Perum Yulianti Prakasa,Bukittinggi
554,Sambal Sambal Ijo 188ml,Sambal Bawang,34720,20,7/15/2025,5/20/2026,3.2,CV Yulianti,Tangerang
555,Sambel Sambal Ijo 182ml,Sambal Tomat,10369,169,7/15/2025,6/8/2026,4.3,CV Budiman,Langsa
556,Sambal Sambal Terasi 178ml,Sambal Cumi,49117,26,7/15/2025,3/16/2026,3.7,PT Saputra Hariyah (Persero) Tbk,Probolinggo
557,Sambel Sambal Bawang 462ml,Sambal Cumi,44432,112,7/15/2025,1/15/2026,3.8,Perum Prayoga,Palembang
558,Sambal Sambal Roa 378ml,Sambal Roa,16025,178,7/15/2025,2/3/2026,4.7,CV Melani Tbk,Meulaboh
559,Sambel Sambal Cumi 284ml,Sambal Tomat,24316,486,7/15/2025,7/11/2026,3.7,Perum Utami Sihombing,Banjarmasin
560,Sambal Sambal Bawang 442ml,Sambal Cumi,39207,123,7/15/2025,2/14/2026,4.9,CV Utama Situmorang,Parepare
561,Sambel Sambal Roa 158ml,Sambal Roa,26815,276,7/15/2025,3/6/2026,2.6,PT Wijaya Anggraini (Persero) Tbk,Yogyakarta
562,Sambel Sambal Teri 349ml,Sambal Terasi,29427,459,7/15/2025,1/19/2026,3.3,PT Iswahyudi Zulaika (Persero) Tbk,Makassar
563,Sambal Sambal Bawang 185ml,Sambal Terasi,51086,33,7/15/2025,1/28/2026,4.2,Perum Kurniawan,Langsa
564,Sambal Sambal Roa 153ml,Sambal Matah,45242,424,7/15/2025,5/23/2026,4.1,UD Wijayanti (Persero) Tbk,Yogyakarta
565,Sambal Sambal Ijo 112ml,Sambal Teri,56980,169,7/15/2025,11/1/2025,2.7,PD Hassanah Tbk,Prabumulih
566,Sambal Sambal Ijo 228ml,Sambal Bawang,47680,420,7/15/2025,2/6/2026,4.8,Perum Usamah Nuraini Tbk,Kota Administrasi Jakarta Pusat
567,Sambel Sambal Roa 330ml,Sambal Roa,38378,161,7/15/2025,10/21/2025,3.5,UD Budiman Wijaya (Persero) Tbk,Kendari
568,Sambal Sambal Terasi 428ml,Sambal Bawang,59542,381,7/15/2025,11/5/2025,4.3,PD Mayasari Tbk,Banjarbaru
569,Sambal Sambal Cumi 357ml,Sambal Bawang,28994,402,7/15/2025,3/16/2026,4,PD Hutasoit Yolanda (Persero) Tbk,Sungai Penuh
570,Sambel Sambal Teri 295ml,Sambal Roa,63878,338,7/15/2025,10/28/2025,3.7,PT Irawan Hutasoit (Persero) Tbk,Bandar Lampung
571,Sambal Sambal Ijo 482ml,Sambal Roa,62217,408,7/15/2025,3/13/2026,4.9,UD Saptono Maheswara (Persero) Tbk,Palu
572,Sambal Sambal Tomat 446ml,Sambal Cumi,72743,486,7/15/2025,10/18/2025,3.9,CV Prayoga Thamrin Tbk,Ambon
573,Sambal Sambal Bawang 121ml,Sambal Terasi,47533,305,7/15/2025,5/2/2026,3.8,UD Suryono Hutasoit Tbk,Lhokseumawe
574,Sambal Sambal Tomat 207ml,Sambal Cumi,23876,211,7/15/2025,7/2/2026,2.9,UD Widiastuti,Pagaralam
575,Sambal Sambal Matah 415ml,Sambal Tomat,22735,58,7/15/2025,1/13/2026,4.2,PD Hutasoit Tbk,Pekalongan
576,Sambal Sambal Teri 430ml,Sambal Bawang,29048,343,7/15/2025,11/16/2025,3.1,PD Hastuti Gunarto,Manado
577,Sambal Sambal Teri 269ml,Sambal Cumi,18402,343,7/15/2025,2/10/2026,2.8,CV Mandasari,Batu
578,Sambal Sambal Matah 262ml,Sambal Teri,39533,168,7/15/2025,3/18/2026,4.2,PT Farida (Persero) Tbk,Parepare
579,Sambal Sambal Cumi 261ml,Sambal Roa,21051,2,7/15/2025,3/22/2026,3.1,PT Zulaika,Solok
580,Sambal Sambal Roa 241ml,Sambal Cumi,18801,347,7/15/2025,3/31/2026,4.7,Perum Ardianto (Persero) Tbk,Kediri
581,Sambel Sambal Teri 283ml,Sambal Tomat,41914,282,7/15/2025,12/7/2025,2.9,PD Wacana,Pekanbaru
582,Sambal Sambal Tomat 171ml,Sambal Matah,27251,375,7/15/2025,11/21/2025,4.3,PT Sudiati (Persero) Tbk,Kota Administrasi Jakarta Selatan
583,Sambal Sambal Terasi 397ml,Sambal Roa,60410,302,7/15/2025,1/29/2026,4.8,CV Safitri Hartati Tbk,Lubuklinggau
584,Sambel Sambal Teri 434ml,Sambal Ijo,33974,200,7/15/2025,2/4/2026,4.7,UD Novitasari Maulana,Samarinda
585,Sambel Sambal Ijo 337ml,Sambal Bawang,36003,186,7/15/2025,6/27/2026,2.5,PD Saputra Mandasari Tbk,Cilegon
586,Sambal Sambal Ijo 487ml,Sambal Ijo,39243,81,7/15/2025,1/12/2026,3.9,PT Wibowo Mangunsong Tbk,Bandar Lampung
587,Sambal Sambal Teri 283ml,Sambal Terasi,24340,389,7/15/2025,6/19/2026,3.1,CV Nasyiah Laksita Tbk,Madiun
588,Sambel Sambal Cumi 219ml,Sambal Terasi,53816,105,7/15/2025,7/5/2026,4.8,Perum Saputra Tbk,Surabaya
